delta	alpha	gamma	ductal	acinar	beta	unclassified endocrine	co-expression	MHC class II	PSC	endothelial	epsilon	mast	unclassified
RAB3B	6.16979879632005	7.07547075295356	7.05955550223033	0	0.217102926638303	7.2510625418095	1.6170534739478	7.22072351467226	0	0	0.169402425754197	5.03759586330747	0	0
RHOC	3.02713306895833	2.74003537869314	0	7.8246215378917	7.10897009556421	0	0	0.169729923394248	5.94404617067739	7.46234549677326	8.01875592920923	5.16120504385525	0	7.6225944250902
SH3BGRL3	6.0248650371045	6.16429995442496	5.7871562430447	7.72288254413237	7.05104228952056	5.39826992221499	0	6.05155094230862	7.41905747865057	7.72918889612294	7.90456288333267	6.49850991450247	10.4291927900152	7.66893140650199
WLS	1.01158611685088	0	4.13736272806981	6.12370251905611	4.9320524507797	5.93430619322468	0	4.84900493614787	0	5.36745180202497	0	0	0	6.18879798014872
KIAA1324	6.99272042331785	8.24672976149408	7.75084513552862	0	5.32648011436396	7.54476759540787	3.2614328943895	7.89523882728975	0	0	0	8.78058365687854	0.97897595989246	0.950050998267159
ATP1A1	6.49294238333326	6.11168774127138	6.1738421506526	9.47003132343841	7.21559531568435	6.65062397154036	0	6.67421757051139	6.59660314970546	6.26404341140515	2.64064964409648	6.40379291733569	0.871806429208249	5.53072028947007
VTCN1	0	0	0	6.24152265620035	0	0	0	0	0	0	0	0	0	0
PAPPA2	0	4.49700392067067	0	0	0	0	0	1.1324967844019	0	0	0	0	0	0
CSRP1	5.70697394253509	5.3816877526627	6.21561926369273	6.5860442790614	6.09800282238329	5.32552015300566	0	5.52917782633997	4.22891297989265	5.68067699027497	0.4453852768625	5.8250883138903	0.917459484812929	7.3266033294857
ELF3	1.66841240644071	4.31756025848918	2.14223711928019	8.39665589983237	7.49925010124646	0	0	3.78373079079472	0	0	0	4.40509434964359	0	0
GNG4	0	5.74958830837366	5.56651830079833	0	0	6.18945376222533	0	5.77311435999091	0	0	0	4.7788225153908	0	0
PARK7	6.50078796528458	6.84350223168844	6.57633412539909	6.7871020418381	6.42802798295016	6.96371851771026	1.6170534739478	6.82216438719412	7.10101550136102	6.9787092492287	7.02657532907857	7.70747210292609	6.58676134640589	7.89481879051544
ENO1	7.30805790259797	6.97265461582889	6.74626408883571	9.04714603935832	8.22407688526497	8.74057447466569	2.42397737719072	8.23834252313711	9.02335404077236	8.87004341921543	7.11210492225753	6.35309798304054	9.31305772905695	7.32407461486779
DHRS3	0	0	0	6.98173205628887	6.66879519028392	0	0	0	7.21812318916234	6.29610901074489	8.73041090476257	5.26416299415546	5.31396082644561	6.36530134701602
ID3	0	0	0.969246572365456	1.53213921457032	5.13229011118132	0	0	4.99247771861136	0	5.93547610459827	8.12197571501851	0	0	5.74632904535194
RPL11	7.30517141147713	6.8596192415264	7.07337273864977	7.19923293315239	7.91481143953296	7.56888002050778	2.95521664432539	7.47602459537215	7.47978359258435	7.46461363365932	5.67697695384055	6.76679401958456	7.46041525512322	4.76163669568168
SERINC2	0	0	0	8.28702545511833	6.46325682801129	0	0	1.27970247041406	3.24046330988099	0	0	0.762218536446506	0	0
TINAGL1	0	0	0	7.24198390974809	0	0	0	0	0	0	5.91936103025646	0	0	0
MARCKSL1	0	0	3.36070544171859	6.40295514199067	5.41143380482159	0	0	0	2.48502906900018	4.74052062732943	5.46639995295368	4.73269824080854	0	0
TMEM54	0	4.30794545199879	0	5.76068647685668	4.59743020126731	3.00770676402243	0	4.27568584198227	0	3.01668566414974	0	0	0	0.384656577935218
ELOVL1	1.91915598007489	4.81252469677727	3.0396499226841	6.51202114991284	6.06361936419087	3.16218393901667	0	4.78246207662693	6.12880569397953	6.11235858645024	6.82388346097869	1.62267143420738	7.31007677195041	3.38962185011787
ATP6V0B	7.37737518133924	7.7318602307096	7.28768229099397	6.89302048707176	6.67856019150423	7.72648497812101	3.2797514547295	7.85666679111141	7.84915388920875	6.59753387124087	6.60380695572694	7.96293398719987	6.72211147506992	8.36600354406654
TSPAN1	0	0	0	3.05564191012903	1.87266779432839	5.90979848461026	0	5.69460514999432	0	0	0	0	0	0
PDZK1IP1	0	0	0	6.221658705115	5.81582904842026	0	0	0	0	0	0	0	0	0
TMEM59	8.05975251014904	8.04328444928609	8.03455479866269	7.96433925407284	7.03541570876557	8.70647154676139	4.67030445840352	8.33613138219686	6.93545085349179	7.00368214425335	8.19498364022706	7.78243167363697	2.76758478580484	8.74396781835097
DHCR24	4.4752414882943	0	0	6.38067942370402	4.94658908998886	0	0	3.93236189133856	4.56999754028917	4.37311496025732	0	0	0	0
TACSTD2	0	0	0	9.1380371567133	8.53664028858118	0	0	0	0	0	0	0	0	0.217669779702545
JUN	0	0.0516214866989546	1.88289358856498	5.35919275890711	5.85906601631309	0	0	2.74664728604003	4.46776463044952	0	0	4.17461445380469	0	4.24999226340356
RPL5	7.13029525072351	6.7683084826003	6.99143610157668	7.15515335165323	7.66466822363538	7.70243270770534	6.41705232343367	7.40457201297774	7.12168062373917	7.63952132382356	6.33393467701122	6.96725853115446	7.70459572255602	5.24084069387154
