bipolar	unknown	amacrine	muller	rods	cones
2010107E04Rik	1.20970987804089	0.434641087473352	0.435759301657711	0	0	0.747568814023339
2210016L21Rik	0	0	0.614052981415476	0	0	0
2700089E24Rik	0	0	0	0	0	0
2810008D09Rik	0	0	0	0	0	0
2900011O08Rik	0	0	0.423106137041466	0	0	0
4930447C04Rik	0	0	0	0	0	0.321394638052141
A530058N18Rik	0	0	0	0	0	0
A730046J19Rik	0	0	0	0	0	0
A930011O12Rik	0	0	0	0	0	0
Abca8a	0	0	0	1.04518031493455	0	0
Abcf1	0	0	0	0	0	0
Ablim1	0	0	0	0	0	0
Acin1	0	0	0.543915112296097	0	0	0
Acsl3	0	1.12524728944005	0	3.83648190071895	0	0
Adamts5	0	0	0	0	0	0
Adrb1	0	0	0	0	0	1.21851008334943
Aff4	0	0	0	0	0	0
Ahi1	0	0	0.268015332368562	0	0	0
Akap11	0	0	0	0	0	0
Akap9	0	0	0	0	0	0
Aldoc	0	0	0	1.52032120702446	0	0
Ank3	0	0	0	0	0	0
Ankrd12	0.792402690255522	0.7400208141637	0.650794216265456	0	1.1519892978513	0.972567893767534
Ankrd37	0	0	0	0	0	0
Anp32e	0.919099850473515	0	0	0	1.37773356812326	1.42089864915138
Apc	0	0	0.67109136274565	0	0	0
Apoe	0	1.15925059050862	0	4.79960874622259	0	0
App	0	0.926366095227286	0.882851411227368	0.792984030842789	0	0
Aqp4	0	0	0	1.87757846796469	0	0
Arid4a	0	0	0	0	0	0
Arid4b	0	0	0	0	0	0
Arid5b	0	0	0	0	0	0
Ash1l	0	0	0	0	0	0
Atp1b3	0	0	0	0.897990737989868	0	0
Atp2b1	2.17173883493454	1.58957080087457	0.71614391609233	0	0	1.33227889980703
Atp6v1d	0	0	0.50524196054334	0	0	0
Atrx	0	0.618426119036821	1.06209877800551	0	0	0
Auts2	0	0	0	0	0	0
B3galt2	1.37038873471849	0.93561776344137	0	0	0	0
BC005561	0	0	0	0	0	0
BC030499	0.937022033480736	0.574227857968594	0	0	0	0
BC033916	0	0	0	0	0	0
Baz1b	0	0	0	0	0	0
Baz2b	0	0	0	0	0	0
Bclaf1	0	0	0.444983560986155	0	0	0
Bhlhe23	0	0	0	0	0	0
Bod1l	0	0	0	0	0	0
Bptf	0	0	0	0	0	0
Btg2	0	0	0	0.749967638721263	0	0
Bzw2	0	0	0	0	0	0
Cabp1	0	0	0	0	0	0
Cabp2	0	0	0	0	0	0
Cabp5	1.40247472587828	0	0	0	0	0
Cacna2d3	0	0	0	0	0	0
Cacna2d4	0.867137322412799	0	0	0	0	0
Cadm1	0	0	0.451804012097752	1.4472817884643	0	0
Cadps	0	0	0	0	0	0
Calm1	3.98318126051832	2.20754907638711	3.37740321708834	1.3368644086392	1.39592868779162	2.14263033342044
Calr	0.603294590391515	0	0.950946702765453	0.607996154721966	0	0.783285310303899
Camk2b	0.757457717468173	0	0	0	0	0.904580717830912
Camk2n1	0	0	0	0	0	0
Camsap2	0	0	0	0	0	0
Car10	0	0	0	0	0	0
Car14	0	0	0	2.00518330405047	0	0
Car2	0.904043447847011	1.26740369132639	0	2.98732186921638	0	1.12222058624171
Car8	0	0	0	0	0	0
Casp7	0	0	0	0	0	0
Cav1	0	0	0	0.924994638436013	0	0
Cbx1	0	0	0	0	0	0
Cbx5	0	0	0.0954673965258005	0	0	0
Ccar1	0	0	0	0	0	0
Ccdc136	0	0	0	0	0	1.52473932195408
Ccdc186	0	0	0	0	0	0
Ccdc55	0	0	0	0	0	0
Ccdc88a	0	0	0	0	0	0
Cck	0	0	0	0	0	0
Ccng1	0	0	0	0	0	0
Cd63	0	0	0	1.04694827392175	0	0
Cd81	0	0	0	1.51252823658235	0	0
Cd9	0	0	0	1.92191435634161	0	0
Cdh11	0	0	0	0	0	0
Cdh2	0	0	0	1.07237235052534	0	0
Cdh8	0	0	0	0	0	0
Cdk11b	0	0	0	0	0	0
Cdkn1b	0	0	0	1.11102040318918	0	0
Celf4	0	0	1.64026448725412	0	0	0
Cep112	0	0	0	0	0	0
Cep290	0	0	0	0	0	0
Cers4	0	0	0	0	0	0.790907361597083
Cfap36	0	0	0	0	0	0.601208227920313
Cfdp1	0	0	0.33304364883623	0	0	0
Chd2	0	0	0	0	0	0
Chd4	0.757609111236019	0.878678753734474	0.834228023625213	0	0	0
