Vip	L4	L2/3	L2	Pvalb	Ndnf	L5a	SMC	Glia	L5	Endothelial	Sst	L6b	Sncg	Igtp	L5b	L6a	L6
0610031J06Rik	1.2143108155464	8.16007848978796	7.58449520926986	8.91796130038205	8.30364646546755	6.24065506207346	8.48321260536339	0	1.89136770794078	7.20561172932802	1.12120903119814	7.87202663312755	7.84377801593411	8.57724829261562	7.7189775442855	8.21044257076348	8.1278761435672	8.29551910443368
1110051M20Rik	9.20168632412834	9.56626571596662	9.95436381926264	10.4410043921133	10.1568193458111	9.97909194464422	9.84122774742104	0	0	9.81623369312022	0	9.94093819249654	10.2477328110086	10.158319723964	10.7402515383095	10.2814312193978	9.89107189741807	10.405341077196
1110067D22Rik	6.75881939281042	8.16486270808771	8.94687980326686	8.77658431199517	8.60330606222832	7.94492774027757	9.40771331591864	1.17604783468412	0	7.40024417326083	0	7.5039941020965	9.46061598369693	9.53933510189547	9.16763469689327	9.26328584455834	9.33759196658741	7.77727135126828
1500031L02Rik	8.41345883221612	8.80268447127466	9.19971230249918	9.80020081452788	9.50578133703794	7.32956048960012	9.13440124298999	0	0	9.06065125833792	0	8.86685499481284	9.86848473209503	8.58868930524932	4.71819327442971	9.516111938434	9.78860031304731	9.44844709441606
1600012F09Rik	0.7952966948709	7.82130413814393	8.60290960143575	8.87971115599574	9.09786286078894	8.45777481182032	8.87340021823236	0	0	9.41711435186974	0	8.51543626640915	8.66203113423828	9.45930121651218	9.08616523126865	9.32409764770233	8.55933725970437	8.80052573559323
1810013L24Rik	9.18142139877726	8.31110440941506	8.28983731929766	5.62004109173316	9.19321422584409	9.22055053505615	8.46850858709582	0	0.823394049043953	8.65753681466303	0	8.70973288554125	8.75737337488443	9.89329896951518	9.51514766240869	8.7923358470609	8.49565784738503	7.74251903443079
2210403K04Rik	1.16914344546793	9.17318193022922	9.18630942158894	7.605893988944	8.3016373542715	5.83481693536701	8.58265240459268	0	0	9.02699193366959	0.514952048621909	8.22106742206327	8.35104887190549	8.6620991332756	3.83251857003181	9.47264036330128	9.11152867192905	8.89003628069343
2410001C21Rik	8.3524176211253	9.95305210684043	9.9919898865392	9.97956343354565	9.39002840898793	8.83058800227636	9.77206234136009	5.56093126560645	0	9.62658514835311	0.642562415349088	9.3424093126748	9.92879660348644	8.42526913863349	5.44087766139901	9.54242370827383	9.71281024919644	9.8547983854712
2900011O08Rik	10.7933996818525	11.6709843504534	10.9014648727926	10.2946185381175	11.4815977706777	10.2784339802966	11.7836650614667	0	0	11.9554866126669	0	11.6314134873764	12.6372051925702	9.19469874960696	10.9637236208185	11.3625236339841	11.7771203919769	11.1083890610076
3230401D17Rik	1.24300997505742	8.6959499511943	8.61370666209155	8.62143133305567	9.0159315958552	5.06790483738284	9.01800837703678	9.76774665247272	1.32093725004252	8.67957512428094	0	8.65684166306482	8.40409457600168	8.49030048588921	6.67041653708836	8.383784039453	8.45490333553245	5.75726539033866
