,delta,alpha,gamma,ductal,acinar,beta,unclassified endocrine,co-expression,MHC class II,PSC,endothelial,epsilon,mast,unclassified
AACS,3.43537071881085,4.31968678702555,1.5793377733191,3.35995359750404,3.64641716989573,5.78118204337785,0,5.12457425734491,0,0.431547742036624,0,0,0,0
ABCC3,0,0,0,6.31687001888918,5.22327564913223,0,0,0,0,0,0,0,0,0
ABCC8,7.17722734394415,7.09375450010575,8.09777182389421,0,0,9.11406033671134,3.34779019661686,8.81696297130865,0,0,0,2.99232835428743,0,0.647559586290685
ABHD4,0,0,0,5.50519048489125,3.91288185731362,0,0,2.66009024976347,2.42638535967253,4.33280714157201,0,0,0,3.02417134224971
ABLIM1,3.49838476593241,5.57697254369894,1.27834005855407,5.49475798858775,3.98252926543955,4.22706416365455,0,5.13217903369981,0,0,0,4.67540674000042,0,3.56760874000281
ACAA1,3.11327287296207,2.80944972995639,2.58638287317079,5.86831636982411,5.3478085007538,2.52885517684134,0,4.04948156194169,5.60951696985389,4.17499062011782,0,4.66467562786577,5.54937855352647,2.82641630347354
ACTN1,4.54892496463964,5.29884594668531,4.70681600824427,5.97424769742097,5.82380919412164,1.12834986459834,0,4.38770113967245,6.73933872850826,7.48860395643643,1.17332162991663,0,0,2.61694062765526
ACTR1B,3.89977187493222,3.49377191017754,3.55607715377998,5.20322917231298,4.92969853323517,4.38686972375933,0,4.5756889403971,3.62949281768394,4.23797977583746,0,2.4243971403209,0,2.6563543095282
ADAMTSL2,1.83990947626473,3.89335217277544,5.40202706280548,0,0,2.00663098782345,0,2.74664728604003,0,0,0,0,0,0
AGPAT2,3.13737492627008,3.78677573585068,5.24134462961511,5.62925326783784,5.78043158566883,4.07448914648645,0,4.31732337092599,4.87192939316162,3.9404308625935,0,0.659739816903006,0,2.1866440942795
AGT,0,3.52596186832088,0,6.13048163163862,2.93644543565156,0,0,3.88210157758492,0,2.29843601112542,0,1.16916701888942,0,3.52427853114136
AGTRAP,0,2.86720652085643,0,5.04182488572686,4.81355178330879,3.26015301348706,0,3.49542163366498,4.06622851529581,4.94298166653201,0,0,0,2.75200605191543
AHCY,2.38472352554639,3.12599886024521,0,4.80559439497867,5.44486149920304,3.5867896561522,0,4.73856108077285,5.092075694322,4.63372455766427,0,0,0,2.63691662546088
AKAP13,3.15186695488433,2.15922435009456,4.30973244464941,5.51179489553525,5.38337251487178,0,0,3.27494844421622,5.662869933978,5.4089334022307,1.44731856381599,0,3.08228959537126,4.18414178756024
AKR1C3,0,0,0,6.12132612976524,7.51398455049804,0,0,0,0,0,0,6.57890418815962,0,0
ALDH2,5.27841134067993,4.62676178620311,5.06394908579113,5.99793246919536,6.30205269639909,3.22377354491447,0,4.61018923884795,5.91012216521831,4.34478690904578,4.72424974666575,5.31359248495373,0,3.28262738883632
ALDH3A2,2.04109603636689,0.369969694602897,0,6.74992448240196,5.58119273849996,0.716226424978416,0,2.31805141041034,0,0,0.254755522191811,3.73078945879724,0,2.73269890456645
ALG3,2.15847930955034,3.48592379549674,0.574066564642042,5.04700210361059,5.17208517061251,2.54883353891478,0,4.11537085064891,4.34436808974948,5.14881665805794,2.8282474348622,0,0,2.57524832177811
AMBP,0,0,0,6.71480990590228,5.73331217289663,0,0,0,0,0,0,0,0,0
AMPD2,5.09111915441592,4.5186031992241,5.24046162351915,1.06104522728409,3.00435879958161,5.82962527183725,0,5.28016097736465,0,4.52105869273662,0,0.699915003407945,0,0.217669779702545
ANKH,4.5103200170512,5.09468003019684,5.42819306215268,0,2.32632593450752,5.54552039797352,0,5.75192431282712,0.514512363888487,3.73867821826369,0.940339030452631,6.07771968646573,0,0.217669779702545
