beta	alpha	delta	gamma
ACAT1	6.07878809476765	4.16281517427787	4.48003241053837	3.50024117918946
ACP1	5.50643990913016	5.34526133075241	5.46393627950641	5.53859713661934
ADCYAP1	6.93659727716545	0	0	0
AKR1B1	1.8275140017078	2.055210761911	1.03696042245591	2.22638521727039
SLC25A5	7.18709173773938	7.7479187108973	8.39778371325304	5.29848236641607
ANXA2	5.21271698206451	5.88647516716156	0.575505968032991	0.771885578515366
APOH	0	3.28674010617417	0	0
APRT	3.95429014521559	4.44985999736139	4.65953073108639	2.83999988567087
ARF4	6.55995001255166	5.67430231135785	5.73979680836348	6.22399009399077
ASNS	4.0298359297348	1.38070646034557	4.10849100259224	2.10470567413933
ATOX1	5.45107569807469	6.28032336961668	5.47914970488743	6.02367674225675
FXYD2	8.35720408874284	5.3036170118318	7.44872341078354	9.62425811407915
ATP5C1	7.35102526400998	7.13046637145206	7.74767002954874	6.36596018352435
ATP5F1	6.47976334857016	6.25391063255647	6.37998477806204	5.82411864704694
ATP5G1	6.36682662944895	6.82929052517229	7.1101544083296	6.67923094919064
ATP5O	7.8566521901467	7.25599029556842	7.61813071376685	7.12546719921756
BCYRN1	0	2.59717025518027	0	3.67822969125396
BCYRN1P1	0	2.53398489338778	0	3.98993826429229
BLVRB	0	0	0	0
BNIP3	3.86179909970534	5.37738093019826	2.89289612362621	2.13481235635176
CDKN1C	7.22440069589079	2.02184223382508	2.30611638772946	1.41748799851367
CKB	0	2.98844577783143	0	3.81863585815809
CLIC1	4.59244924044941	5.14647575475287	6.4320657951085	4.2273021020522
COX7A1	3.18493017666477	4.15686548329649	0	0
COX7B	8.20382742107621	8.27427574692931	8.55081218607603	7.73460124469687
CRYBA2	0	6.58546514542756	0	1.25743310300358
CRYZ	5.07180479731145	4.76909772493791	3.0783707318988	4.61005037242408
CSNK2B	4.40333038175537	3.87366378396292	4.39609097039437	4.0173429327157
CTSL	3.74056112984353	4.64502178860503	5.47222130317696	4.76579462022432
CYB5A	5.75919350007975	4.59173652071756	5.07714470771119	1.68365154481248
DAD1	8.28805853978254	7.53276358135984	8.50040054053151	7.70616582672748
DDIT3	5.78393901431741	2.46046477829505	6.93539609809061	5.79013081341021
DECR1	2.62761273695602	0.840961416173766	4.21039665772081	1.29401781531022
DGUOK	5.58009144198243	5.72989654061582	6.03494418748534	5.33356685113426
DHPS	2.59113342394752	1.0433780265449	0	1.18624698614531
DUSP1	5.3890613810931	4.95641279756661	4.44460743916146	6.55980840046954
ECHS1	5.04300095097744	3.87625949545575	5.17419066931181	2.35532642722999
EEF1B2	7.32544251651565	6.79742035879387	6.83067998645612	6.12689028206315
EIF4EBP1	0	0	0	0
ESD	6.33370822845766	5.04671571053032	5.54154271675783	4.74813379853743
FABP5	0	5.72114730369405	0	5.03244031275468
FAP	0	7.08177225551889	0	0
FDPS	3.14738558079068	4.7690092655546	0.732225776875346	0.945907297210253
FKBP3	4.57957839491663	4.3835981203493	1.32204350587426	4.74685555625393
GAS2	3.45200749267282	0	4.89519596654797	5.09596238515797
GC	0	8.29559043842445	0	6.56871314907608
GCG	6.97939627889487	17.6751330909088	7.99723933318897	7.10978678523773
BLOC1S1	5.36319148944499	5.33992921383505	6.26116031547953	4.99993688071122
GNG5	2.96956293443987	6.1314128804387	5.55393488636641	5.50688751819049
GPX3	6.93617733505523	9.43983420947176	9.13650005095028	1.92982886323325
GSTA4	0.491746570976746	3.86065964403511	1.91441144428101	3.55505534996329
GSTP1	4.68934014093594	6.16337956837039	6.93380512191943	6.36128586004706
GTF2A2	4.85395648830676	4.57183142954882	3.36970377246345	3.41175162896452
GYG1	2.9218640533506	2.47967348220816	0	1.00511249807076
H2AFZ	7.79522897477586	7.27042774804639	7.83461831429464	7.29312030119463
HADHB	3.26500529885824	4.71134188437706	3.42453248108086	4.56498780095989
HADH	8.06038304225887	0	6.84715759503236	0
HPRT1	0	1.39508489565483	2.93841753884007	1.99439869716979
IAPP	11.5331989828691	0.358265176071785	1.30783650246227	1.54106872943091
ID2	5.21749316265121	2.12134432828114	6.3903753478803	9.04892057093278
IDI1	4.59468341406533	5.76513723979694	3.92243574023315	1.47938579263674
ILF2	4.63639767985377	4.3432932145658	4.09590754627365	4.93776809805052
INS	15.8581083818617	3.49547766157408	5.6402651844317	3.87580954563592
EIF3E	7.23711098380693	5.26897292567986	6.45660740364266	5.87837222538343
EIF6	4.02925654418163	3.36647929069582	3.12184429787638	2.00705194251649
LDHA	0	5.3516943343442	2.65041992519221	0
DNAJB9	4.95839387236928	0.351628112013022	1.97618030832405	0.787348876055945
MDH1	7.67500256311968	6.81240919942532	7.28810381616803	6.68116671455454
MEA1	4.03982564597302	3.01269038147031	3.52116383573746	2.12641125851084
SCGB2A1	6.8457385335342	7.7923771071157	1.34964835324329	9.40223868523387
MPV17	4.56474895362044	4.05700867446701	4.70622662076613	2.98793929113622
MT1E	0	0	1.12293771309239	0.858935842688249
MT1F	5.97004562382267	0	3.17740757777352	4.85786159473514
MT1X	7.60648775473546	5.33634388786881	2.49010798328815	6.75443191263472
MT2A	3.43618416202541	0	2.24847411537262	4.93036833885878
TRNC	5.49544723253155	4.98369559728097	7.19562614859718	8.1155264624198
TRNA	7.03623609793875	6.35277961309409	7.40782093916355	8.14674430855704
TRND	5.43964587953699	3.97869521726425	4.58219468188493	0
TRNK	3.86864710357715	0	0	0
TRNN	7.55141908837372	6.96577943331016	8.32635622691594	8.9458815532918
TRNS2	4.36527450289958	0	3.46359630188238	0
TRNT	3.84323834059903	3.24573027991539	4.02230566482657	4.70638135766922
TRNV	8.40182451953618	7.03923379106893	7.94396351000229	7.29161552887266
TRNY	7.93067890837371	7.27044525774307	8.38111591947367	8.94751655007191
NDUFA2	5.70729272222145	5.9629424349996	6.45030398982412	4.74317024834689
NDUFA6	6.16095436121431	6.11297792362346	6.02722041536501	5.33903402608829
NDUFA7	6.21651948239927	6.69399449533169	5.62015529691644	5.76943059250255
NDUFA9	4.86667815315919	4.21289300585519	4.83511561525822	2.32169724521235
NDUFAB1	6.16447972372713	6.20293659208591	6.43358544115049	5.48555563347727
NDUFB3	6.96439438086139	7.05570411057677	6.25586513757161	7.0627002630786
NDUFB5	5.19688122001622	5.11086263949592	3.29410606523373	4.29375303314546
NDUFB6	6.5776710949598	6.27022970208141	5.78517125826407	5.57158277085426
NDUFB7	6.01875134170502	4.97869140258188	5.6971983389763	4.66957107603897
NDUFB10	4.10566545331773	3.27351431476678	4.02252761039822	2.80758161346731
NDUFS4	5.51230956361886	5.65828094294619	5.32756521848905	5.50636709290306
NDUFS5	8.17650752308166	7.9782362499706	8.19427669682679	7.9812864213475
NDUFS6	3.44706281067904	4.19583064678044	4.67239139580646	3.1252874067519
NDUFV2	8.04186642068196	7.48473449238708	7.36872732317611	6.6935928906372
DRG1	0.562512810963571	0.666087293170219	0.393086655023531	0.576860702224192
NEDD8	7.87984029560985	7.53164271857902	8.0748436354077	7.61479154544947
NME1	2.31021898618404	4.9679869297004	1.83568158412171	2.3382817784652
NPY	0	0	0	0
PRDX1	7.35850172410042	5.43632953811658	5.52567427079875	5.98137319711209
PCBD1	4.9774943581836	5.59897500678837	5.95361213333134	4.77179580333677
PCMT1	5.60719293929241	4.45342098342954	2.54436173549328	4.09566285508248
PCP4	5.7836045781594	5.0916186131078	7.23835218987318	0
PDK4	0	6.24183541725372	1.22132030675705	5.44721219490133
PFDN2	1.97578234605702	3.63969457794665	4.72481395704308	2.03273563040589
PFN2	7.92375471925636	6.38044485455853	6.5143605850702	4.60627639158439
PHYH	2.47765077303201	1.18780970513053	0.315334360334379	0.76332658256796
SERPINA1	0	7.45889255514605	8.1127642395223	1.40108430150501
