beta	ductal	delta	schwann	quiescent_stellate	endothelial	gamma	alpha	macrophage	immune_other	activated_stellate	B_cell	T_cell
X1110038B12Rik	0	0.655498197642461	0	0.584064875334884	0	0	0	0	0	0	1.1478491647038	0	0
X1810011O10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
X8430408G22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
Abca1	0	0	0	0.270720009003585	0	1.21594476898089	0	0	1.08399101485963	0	0	0	0
Abcc8	1.47035194595012	0	2.4207767759146	0	0	0	2.10664412752581	1.84583582542177	0	0	0	0	0
Acly	2.16286087017531	0	2.07512133876289	0.807874694805363	0	0	0	1.11861341476817	0	0	0	0	0
Acp5	0	0	0	0	0	0	0	0	3.11510396618095	0	0	0	0
Actb	2.14125185579222	4.73460324152327	2.5131382147885	5.38324623955937	4.39693843325292	4.68914663540543	2.10664412752581	2.57439678343947	5.40566541683465	7.03175466849351	5.1785687140486	4.18431571802149	4.72359762432846
Actg1	2.48756092972738	5.11756207664134	3.51817640571905	5.22152908028544	3.93805667607588	4.23088864316243	3.72167349128925	3.76518295012135	4.10454518140003	5.82604012652197	4.29689931272238	2.05889621821915	3.82724038055528
Actn1	0	2.82410853435125	0	0.315877153325481	1.48051676901618	0	0	0	0	2.9589254940591	2.93885494248846	0	0
Actn4	0	2.70712782079414	0.762455057159862	2.35785016359416	1.37137910220901	1.81515463378471	0	0	0	0	1.42290539771227	0	0
Adam8	0	0	0	0	0	0	0	0	1.62408141578079	1.1462686677339	0	0	0
Adamts1	0	0	0	0.551919971257591	1.98539809517096	0	0	0	0	0	0	0	0
Adgrl2	0	0	0	0	0	0.900905688890272	0	0	0	0	0	0	0
Adgrl4	0	0	0	0	0	2.0177629298235	0	0	0	0	0	0	0
Ahnak	0	1.69474886351022	0	1.64437627057819	0	0	0	0	0	0	0	0	0
Akap12	0	0	0	1.25638211558085	0	0	0	0	0	0	0	0	0
Aldoa	2.01367876386711	1.35169979254608	2.2869850234133	2.63043616696543	2.76433361662727	2.25971835706742	1.68711379584026	2.35952297669351	3.55310796206982	1.77804624094725	2.24541241542555	0	0
Amotl2	0	0	0	0	0	0	0	0	0	0	0	0	0
Amy1	0	0	0	0	0	0	0	0	0	0	0	0	0
Angpt2	0	0	0	0	0	2.3366309948922	0	0	0	0	0	0	0
Ankrd1	0	1.25888105844006	0	0	0	0	0	0	0	0	0	0	0
Ano1	0	0	0	0	0	0	0	0	0	0	0	0	0
Anxa2	0	2.55959979206152	0	3.15236219787981	1.88166755298019	1.86090914658945	0	0	2.22306510115371	2.74176426617808	2.71517746473346	0	0
Anxa3	0	2.43681294502923	0	0	0	0	0	0	0	2.18816760145781	0	0	0
