,NP,TH,NF,PEP
0610007C21Rik,4.57827455834104,1.85111936436777,5.39296992295715,0
0610007P22Rik,1.1369132095698,0,6.42044871592419,0
0610011F06Rik,6.18324829528156,6.5609900184071,6.83022996724067,3.58976348698498
1110008J03Rik,0,0,4.37413529095859,0
1110021J02Rik,0,5.52368740234559,3.97535504657542,0
1110032A03Rik,3.6667565918848,0,6.06164660837982,0
1110032F04Rik,0,6.35187563513089,5.32261321232927,0
1110051M20Rik,6.86096279785812,6.37750554762926,6.98356369722332,6.79298545968466
1700019E19Rik,0,0,4.30487605004489,0
2310009A05Rik,0,4.63279167920612,5.67590059388999,0
2310044H10Rik,5.50928412745132,5.4899603217414,6.97933944567821,5.75285561229223
2610101N10Rik,2.24637768239405,3.2217533720184,5.72016900015183,0
2810405K02Rik,0,5.79282932948997,7.74543903713405,4.24549566281992
2900053A13Rik,3.65638195721104,5.81483237255172,6.95489421979703,0
3632451O06Rik,6.75968848842729,0,6.29845670537229,0
41158,6.80748372836463,5.08087081175972,5.7599547420113,4.52412637847583
4933407C03Rik,7.07777707328828,7.7371459197762,7.86443379636562,7.00101403849448
6330403K07Rik,0,0,0.230030814423634,11.0858043802781
9430023L20Rik,6.9263553027107,6.97773784924282,7.19957419897824,5.51686613648958
9530052E02Rik,8.05381730208943,8.67743776892172,9.29996351793799,6.92041240816079
Abhd12,5.97933944567821,1.07059541246298,7.33913738491959,0
Abhd14a,5.88983855076605,0,4.35867757131523,0
Abr,7.23764019503539,5.61541629726287,4.91427748664432,0
Acadl,3.96069703930431,5.3467441913849,7.06339508128851,5.15562781584529
Acadvl,5.43342687159321,2.11466686112179,6.98947965394985,0
Aco2,5.41572486985975,5.62833617186991,7.81480674309309,0
Acpp,8.39480564226532,8.46450490913191,0,0
Actr10,5.89924815019137,6.07103324445682,6.42824290970618,0
Adam22,4.74416109557041,5.79282932948997,6.64485130607728,0
Adam23,0.844907837395157,0,7.64378405321925,0
Adipor1,6.55260762318018,5.32984117653063,6.84096670448742,4.83289001416474
Adk,9.08331975776571,4.19069386653688,6.89518142210268,0
Adrm1,6.3210622180738,5.90806831572163,7.06080399468456,0
Ahcyl1,0.995231233565638,3.92457500339273,7.04821438460804,0
Ahnak,8.87415144412074,8.70362677086498,0.438165079570778,5.64984535230601
AI593442,0,5.95321866966928,6.29438181145637,0
Aimp2,4.90419504823787,3.78690995716231,6.18547014606694,0
Ak1,1.69852965776823,6.52109786249367,8.6006563078263,6.5201236206088
Ak5,0,4.67660592339182,5.88944920536496,0
Akap6,5.43702794271535,6.48615121310239,7.90237511448603,1.07443693069915
Akt1,6.73077579651205,6.0668856827378,7.80529245560071,3.77536665623612
