interneurons	s1pyramidal	ca1pyramidal	oligodendrocytes	microglia	endothelial	astrocytes	ependymal	mural
Atp1b2	1.41341134826778	0	0.699552424547819	0	0	0	3.92419632312672	1.61961798751112	2.25205015665087
Cxcl14	1.27037791724987	0	0	0	0	0	1.28769481982603	0	0
Scg2	3.9678751103267	2.04304013154081	2.43024723479425	0	0	0	0	0	0
Htr3a	3.22504347960985	0	0	0	0	0	0	0	0
Cnr1	4.47294734280308	0	1.4289103712525	0	0	0	0	0	0
Gng2	2.93032211394739	1.72434216678042	1.81682274935302	0	0	0	0	0	0
Nrxn3	4.1013457531934	2.51084647376701	2.26336087040245	0	0	0	0	1.03428126566168	0
Rph3a	2.80101542280706	1.98000152589069	0	0	0	0	0	0	0
Pcp4l1	2.411807069569	0	0	0	0	0	0	0.543851531948978	2.1389950688746
Xist	2.13149211055597	0	0	0.539939174707762	3.26253209422704	3.21788639606677	0	0.874258882729806	1.19792497241312
Syngr3	2.74632301350592	2.00378479210691	1.7239761958481	0	0	0	0	0	0
Nap1l5	4.41201371067433	1.76359916435045	1.59634808860945	0.970934160018969	0	0	0	0.793826665459731	0
Marcks	2.03047999535633	2.31573436228659	1.47323871781624	0	3.66592152938169	0	1.36550561111721	1.63385834477442	0
Pebp1	2.95868311842317	2.72764902051093	2.66160939205791	1.12175714785584	0	0	0	2.87823350802629	0
Gnas	4.51157172714718	3.70387790281386	3.83882389909946	2.12882573810213	2.14012858636395	2.79122949935448	2.65770458273443	3.59039461906712	2.64038400833419
Gng3	2.42781812931313	2.04498047709143	1.79461059073136	0	0	0	0	0	0
Pgam1	3.39746466095055	2.86223084397404	2.99077161042288	1.2314682702419	0	0	1.73874286378092	2.21666289935741	0
Stxbp1	2.97453082855309	2.89072605455428	2.10657247773316	0	0	0	0	0	0
Prkar1b	3.26196158186673	3.14004784248738	2.57740952290186	0	0	0	0	0	0
Bex2	2.43975025254042	2.26429095428482	2.03089488173618	0	0	0	0	0	0
