,zygote,2cell,4cell,8cell,16cell,blast
ABCB4,5.78884211969898,6.22634249042867,5.93523856028463,0.690045532158166,0,0
ABCC6P1,7.86362868404778,7.73032119699669,8.32269846777932,7.43027984345604,4.75919837605743,0
ABT1,0.361170055522883,0.103321611991698,0,5.97865374198971,6.10032926707737,4.62677135724347
ACCSL,7.92223400819648,8.42736808151401,9.66256007579033,4.58821901601441,1.78503908052176,0
ACOT11,0,0,0,6.46792973910878,7.14741130664541,4.0579063926623
ACOT9,4.87866183943734,4.21944431523549,5.44790543273451,4.06830309073535,3.82446202137393,0
ACTL8,9.82198515395974,10.8416897433414,10.4303174817107,9.17140594973598,5.97451152876724,0
ADAD1,5.67159762226689,5.92623427819841,6.01966445935823,2.6404043857118,2.73151450735469,0
ADM,0,0,0,1.88619621970429,6.73550249690908,4.12881585884533
AIM1,5.95662401366816,6.03997790559536,6.07042891191336,2.35694345764723,0.91967345825244,0
AIP,4.52845737413716,4.08294430273272,6.02577831448629,5.70013041143522,5.61392557545671,2.25022710473449
AKR1C3,6.49164779779596,6.32206770607848,7.92730520545269,7.30454494294789,5.17563822719154,0
AKTIP,7.42412561078042,7.87541045826831,7.31084457857378,4.47915773958163,0.666300982525557,3.97301449475774
ALG5,0.550191143541574,0.336862778816063,0,5.34599370977852,6.01704400284399,6.50024399186505
ALKBH2,5.57873654682715,6.03275284301527,6.3686850624635,4.2175019357637,4.15720718753256,1.32654216470378
ALOX15,6.38681906402225,5.54170239463256,6.01685248616759,2.87288122965294,1.5554609686323,0
ALPL,0,0,0,0,3.28808956981831,6.37323700664413
ALPPL2,0,0,0.17127737273866,7.31513135142056,6.95740559787631,5.59183359276976
ANKRD37,7.45683288954198,5.60399325041123,5.37424222794336,6.81252961922268,6.28442356170903,0.0765783940307103
ANPEP,0,0,0,0,0.531143764697217,5.96723619597196
ANXA2,0.223278457218503,0.228961016209349,0.624412523050756,4.32303177024433,4.77479818596359,10.1318146339401
ANXA3,0,0,0,0,0,7.18252657204116
APOC1,2.28281135152243,2.75053285794592,2.47925733418935,1.46398614163777,4.7927274574092,7.83230748441149
APRT,1.17029594584034,1.2841633479443,0.176379262520318,0.840515900824209,3.79941598145634,7.78180603147112
ARGFX,0,0,0,7.1941331182114,7.7982214359661,0.334012348625616
ARMC2,7.23978693370435,8.09692590084815,7.25468645972364,4.98219573404889,1.89858676679723,0
ATF3,0,0,0,4.88195894232761,6.35342321454692,3.46615306824771
ATP5E,4.62270324851745,3.30485967319038,1.98296355797105,4.53083810891989,6.19695155919931,7.93231636651034
AURKC,6.69834645799968,5.88094122956979,7.19523595894687,6.14088041053068,5.38446956622655,0
BAMBI,0.677571860545433,0.848825312430331,0.463015275030344,6.58436040335074,7.11581966100489,0.795247357238826
BASP1,3.21902836534458,2.16609903372051,2.32757471818115,7.64999769823509,7.66043232485515,9.87068935938366
BCAR4,8.37990873960714,9.38067792161213,8.74013474114555,7.4652569339477,4.46112592664251,0
BCAT1,0,0,0,3.16906392011322,4.78936793821801,6.51900680091304
BCL2L10,10.3696328751752,9.65016366326742,8.59098248819385,4.58796278892855,0.369290974754522,0
BIK,0.453589168241469,0.492933807519609,0,8.74057166098747,10.6484810060861,0.642182440604802
BMP15,6.52466948772852,7.40578280759126,6.89510357317144,4.14012411021508,1.80809649819054,0
BOLA3,2.34305884999326,1.61534245370081,0.820051306108928,0,1.88290356770827,7.56525716388584
BPGM,8.64172594133498,9.1561865909163,8.3942461388374,7.03531191154578,4.63227200378381,0.323979572705849
BTG4,10.6613509292634,10.5218822339166,8.75518026480128,2.73552624299223,0,0
C10orf82,5.01107380452752,5.10490758188618,5.9621599153945,4.17164259400365,0.693408507578761,0
C11orf74,5.79284993659188,5.17861908500969,5.20408906917824,3.97255825762317,1.33278745785546,2.12607300329063
C15orf60,6.65824207916005,7.26888616153074,7.12410503594154,1.58880998822467,0,0
C18orf55,4.77862172273435,3.9034174424568,4.48372149491517,0,4.18670114771494,5.1543106919465
C1orf230,7.95921476298936,7.24555728102802,7.38719085725788,6.18253227711481,3.48998677622717,0
C1orf51,5.89165825558953,4.86994077129355,5.10009352673154,3.79395621951675,5.48523112777946,0
C1orf59,8.83841602400671,9.04246938848265,8.71082999663227,6.61714408812856,5.08079608141493,4.77987238370991
C1orf63,2.96192287610034,2.26650903046897,2.11573863077868,8.57486934317484,6.15832762131338,3.98741173281687
C21orf7,7.12563320298763,6.749914148142,6.70326698175628,5.0943037032667,1.05711687221354,0
C2orf51,3.04027511230385,3.53495552766477,5.05426560969766,6.61272987847214,5.34587786353798,0
C2orf84,7.22562388885924,7.06438373420933,6.49745558176008,1.9996936778623,2.16930598003985,0
C4orf23,6.9329599343021,5.81592662505631,6.27363732107283,3.90731827596903,2.94579436135831,0
C4orf47,8.94709938817865,8.28373595728885,7.12712970742948,2.41953208691079,0.966370763711709,0
C6orf221,8.62021181227684,9.36122881001964,9.63339881389667,9.66954140123075,6.55588712084124,0
C6orf52,7.59118730247272,6.95667441690725,7.87507241912676,6.30401764321227,3.2628252739694,0
C6orf94,6.58786873383522,6.41647769418093,6.85450152422702,3.45311580719717,0,0
C7orf47,6.22518034374254,5.36647377748109,6.63147337031609,4.25032015914595,1.8086727530164,0
C7orf58,4.40525066969981,4.25390393110018,5.29247791787762,4.30318562325007,3.70621318095096,0
C7orf70,9.6696077791772,9.5446779376078,8.99085599754017,6.44291017013866,3.76511599289696,2.22280856664005
C8orf12,6.87825306429045,7.70277179402748,7.81343237252002,1.8075684093291,0,0
C9orf140,0,0,0,0,0,5.84389561259164
CABYR,5.29240836052235,4.88368941894131,6.26080354246922,5.94134805740264,5.02317441744855,0
CCDC146,6.40664988265894,6.01679784702478,5.40816243569951,4.42774161023211,3.3037960973089,0
CCDC147,8.03188258466069,8.3589980565225,8.26697389822685,6.93956589558893,3.85328565798545,0
CCDC148,4.7595519718329,4.35483853370362,4.91521707616687,4.33135468067928,3.66235219306373,0
CCDC15,7.44362851803008,6.99600953162307,5.45208322060783,3.8614215216129,2.50337543554178,0
CCDC27,6.04230616667493,5.86131862106455,6.23448646439668,4.22488891639204,1.33275073468953,0
CCDC75,4.75995339686326,4.80480627456525,2.79967675176478,6.38531707651257,5.57841376678165,0.270271566989286
CCNA1,0.372347504627688,0,2.00135072019157,8.02453348783935,5.39966068761878,0
CCND2,5.20095048180472,4.77601684000083,5.36782405149682,3.4258298332502,3.39457720298404,0
CCNO,5.94111593904425,6.45612851066205,6.87102463415391,3.96900688935059,3.19054988513121,0
CD53,0,0,0,0,0.266532460934819,7.74423704078819
CD63,0.717183608996392,0,0.105817626663575,4.84046955073254,5.81285837067082,7.85889954782726
CD81,4.3624993455591,4.18278618441911,4.36387093798709,2.32254466999375,2.76185743681343,8.13107077699769
CD83,6.07145193821662,5.09338121248077,5.60263108512712,3.55710083598142,3.43402698303634,0
CD99,6.44836262130219,6.14639856908062,6.97834709226845,5.77434150698221,5.3346211036677,5.80001241073316
CDCA7L,5.27974798012951,5.39390539596453,5.88415621739635,2.40428589285618,0.394951411665436,0
CDH3,6.48540532450895,6.29038206151314,6.43076326441275,4.06612803837059,4.24700158242315,0.0907103201400708
CDK4,1.24919692661237,1.1575138275185,1.8232154452659,6.11423822312379,6.56182739632235,6.51226600443731
CHCHD4,0.130915829376068,0.39716592483141,0,0,4.4340141198835,5.75062306797923
CLDN4,0,0,0,0,0,7.43055418703432
CLDN7,0,0,0,1.80154965635677,4.10627017618642,6.37135875852168
CLEC10A,7.3560088721097,5.39044777710012,5.44429140431824,2.59355954256128,0,0
CLIC1,1.46049742366541,0.331581210321264,1.42709000650954,0,0,7.84015841969505
CLOCK,6.40285929706995,6.16380130661606,6.03372302642916,4.91622239431457,2.79708005805771,1.49520607991167
CNN3,8.25573164778251,7.90281081152452,7.74754686021608,3.57222544383718,2.85986769104546,6.1732310316848
