,Vip,L4,L2/3,L2,Pvalb,Ndnf,L5a,SMC,Glia,L5,Endothelial,Sst,L6b,Sncg,Igtp,L5b,L6a,L6
0610007C21Rik,6.86006480817336,6.35491051158679,6.11623997946937,6.24012348403402,6.56376827845203,7.02025771636832,6.22843392051337,0,7.2309330930394,6.88121918541185,0,6.73186080960704,6.59842476052772,6.9047249283904,6.76149355787689,6.31849761886055,5.98572811041913,5.33199177823206
0610007P14Rik,6.48669621018727,6.03562390973072,6.20515788392009,6.98504496225347,5.8293421939028,6.18745105402733,5.99751823451979,0.22650852980868,0.526068811667588,6.68197400602598,0,6.13829735849868,6.66661458735288,4.13750352374993,6.17106241122689,6.15906400881055,6.3212065669699,6.7235585614721
0610009B22Rik,5.67618208037202,5.69655030107857,5.46597446450407,5.7311832415722,6.16309613843601,5.88996019965864,5.74980240168005,0,0,6.41842516193693,0,6.31967164325314,5.876516946565,6.65019012349677,6.22075237376244,5.80038224830338,5.78319470337615,5.18626283566979
1110001J03Rik,5.9773740251335,5.03342300153745,5.0746766862945,5.85149920246126,6.68832025628797,5.31903981556254,5.31433399391901,0,0,5.16808924256142,0,5.94260497683222,5.05571626351254,5.59185890498717,5.9915641075983,5.58796498888268,5.42525787199921,5.77425995143276
1110008P14Rik,0,7.87122761235798,7.40777761053613,5.33735429849697,3,3.33485426933163,7.11457525112554,0,0,6.90028923107327,0,3.99167239840904,6.89675621847481,1.57046293102604,5.34911688046496,7.26218882895647,7.62190534551941,7.40113551326553
1110058L19Rik,5.75408221601781,6.02680005934372,6.31596466980603,6.04001567884788,6.7292808460274,6.02214584287018,6.3403842354554,0,0,6.34074000610727,0,6.33993298441058,6.42324199597366,5.83415498140132,6.79552981878551,6.78528898070402,6.86826697164548,6.97108365753601
1700021F05Rik,4.79071234538528,4.61176256006487,5.07296327155522,5.4446008137115,6.5158575012579,5.55949181320504,5.50303064564116,0,0,4.94039846535453,0,5.54267813437689,5.0071955014042,6.40769264866568,5.68985704518262,6.01814452894376,5.81992359556066,4.89287670006069
1700037H04Rik,5.26697144670072,5.23725777090037,5.91456452349394,6.35102755219611,6.08363887925071,6.21062264439691,5.48058827023386,0,0,5.81379247620997,0,6.41657724200662,6.91623776786777,6.75555526197214,6.25185921305458,6.73876783680019,6.24260250592898,6.13257684267001
1700086L19Rik,0,5.66817586897014,6.24507727535967,7.22303633790187,3.28392177230762,0,5.31976242766925,0,0,3.07106578507139,0,6.13184049820066,0,0,0,6.40190347160796,2.95977015521147,0.678071905112638
1810006K21Rik,6.5251247525529,6.76008785037888,6.64241277290506,7.11311703639072,7.02668941897855,6.17272751801285,6.90315881111987,6.99819550315325,7.56331069160856,6.88253258003137,0,6.91359875716317,6.50811168119346,7.16188768237689,7.16734303669043,7.0524593691181,7.1407786557828,6.80167602925359
1810009A15Rik,4.8223838425192,5.27239650903748,5.28946563095822,5.72601374886015,5.8073549220576,5.91121220155861,5.45121111183233,1.43829285157915,0,5.11432277835137,3.6781159313277,5.79816253617819,5.18428029441938,5.88362081628567,5.93682755907484,5.89384755813292,5.20320115631661,5.58856473740135
1810014F10Rik,0,4.84699468696557,3.93073733756289,0,5.94368695159709,4.30524096595448,4.71918344048179,0,0,5.92617105926794,0,5.27331924691188,5.57621978120958,4.59275601044103,5.82036052774295,5.95023510048569,5.13298804262744,5.47702965301306
1810020D17Rik,0,0,0.475084882948783,0,5.95303237725324,4.30085587126876,5.50747752951693,0,0,4.19793734348373,0,5.48009952897629,5.31397137105902,5.20280949212501,5.45636964856172,5.35155766245043,5.58165253046128,0.887525270741587
1810035L17Rik,6.4959335687384,6.01010845347429,6.27817064963117,5.77531397525381,7.03946743827853,6.09212284983868,6.03320272593722,5.06091204958787,0,6.14661272501449,0,6.88914924368485,6.13688860790307,6.80516345349566,7.27659947045036,6.7935057716697,6.21839371107679,6.23764019503539
1810046J19Rik,6.47926261935803,6.86406230285491,6.96935773910922,7.19337751056436,6.61146750023341,6.38145643014699,6.85561602278684,0,0,7.06151039841118,0,6.81011186048108,7.4235781709818,6.95559179175399,6.41907013742597,6.92576211367192,7.29581484284014,7.06619685024969
2010107E04Rik,8.27244314838136,8.31097624958131,8.70839418775667,8.51171312733439,9.46746290369095,8.47394922190771,8.6077001881372,2.74846123300404,6.39214566314514,9.0107143945058,0,8.83288633380378,8.23553560671046,8.45042772187076,8.93240933627113,9.11003953617598,8.74836059507432,8.71506967937999
2210013O21Rik,6.1631828608692,4.19849415363908,6.01725383896894,6.36684673526264,6.38939472432399,6.50350775363456,4.36246988875021,0.411426245726465,0,5.09477441972066,0,6.65042075180213,6.34020617991171,6.11561593142811,6.43604813138922,6.00022540349095,5.65191274464578,5.57863686247174
2410006H16Rik,6.22331235765238,5.01569380710515,4.46988597627446,5.39471991299406,5.75915583380027,6.1106138055009,5.44161626940656,0,0,5.13432760631161,0,5.96620335238064,5.74604398299834,6.45154083301783,6.78313992897099,5.04045412134962,5.00405188450708,4.88362081628567
2610017I09Rik,6.86437185421375,7.35676006440924,7.15035658020834,6.33985000288462,0,4.9676297534662,6.2112069285929,0,4.61882595258744,7.09830356046587,0,6.30469345357871,0,0.485426827170242,0,6.93569546303184,0.526068811667588,0
2810405K02Rik,6.11240162849216,7.09908476089186,6.59723318908613,6.30122180533309,5.97361127551947,6.00539998774259,5.96555343498708,0,0,5.36302033228066,0,6.18623883910923,5.42660022616993,5.98527271425345,5.79415268838197,6.1785154701886,5.5512083739461,4.75381844317354
2900010M23Rik,7.64531708645558,7.76546844451592,7.375821403444,7.41531924814038,7.57538797336885,7.31152127982613,7.53892609959194,7.45154083301783,0.659924558402378,7.73835696638421,8.5650684650094,7.4630337719008,7.53667461756976,7.55435861601352,7.00764375207177,7.80922148887917,7.73457414954252,7.46996735343786
